89594, 0.000427, -0.001907, 0.000427, -74, -32, 237, 894, 0, 0, 511, 25, 9, 17
92098, 0.000427, -0.001968, 0.000366, 5, 20, 276, 894, 0, 0, 511, 12, 65531, 14
94602, 0.000427, -0.002151, 0.000519, -35, 21, 201, 890, 0, 0, 511, 57, 65507, 12
97106, 0.000427, -0.002182, 0.000595, 4, 3, 174, 893, 0, 0, 512, 43, 1, 12
99610, 0.000443, -0.002167, 0.000580, 70, -12, 204, 894, 0, 0, 511, 21, 14, 18
102114, 0.000473, -0.002136, 0.000626, 52, -28, 211, 893, 0, 0, 511, 36, 17, 21
104618, 0.000504, -0.002213, 0.000626, -11, 5, 252, 893, 0, 0, 511, 28, 65529, 21
107122, 0.000534, -0.002258, 0.000580, 19, -6, 188, 892, 0, 0, 511, 15, 65534, 20
109626, 0.000549, -0.002228, 0.000671, -67, 68, 196, 893, 0, 0, 511, 47, 16, 19
112130, 0.000549, -0.002228, 0.000778, 30, -50, 178, 892, 0, 0, 511, 50, 11, 15
114634, 0.000549, -0.002258, 0.000885, 19, -33, 214, 893, 0, 0, 511, 50, 0, 16
117138, 0.000534, -0.002319, 0.000900, 41, -27, 226, 893, 0, 0, 511, 30, 65531, 10
119642, 0.000534, -0.002350, 0.000900, 64, 55, 215, 893, 0, 0, 511, 24, 0, 12
122146, 0.000549, -0.002426, 0.000931, -49, -28, 149, 892, 0, 0, 511, 32, 65529, 18
124650, 0.000580, -0.002411, 0.000916, -10, 24, 236, 889, 0, 0, 511, 22, 13, 21
127154, 0.000610, -0.002487, 0.000931, -17, -20, 233, 893, 0, 0, 511, 31, 65527, 21
129658, 0.000626, -0.002472, 0.000931, 24, -21, 204, 892, 0, 0, 511, 27, 13, 17
132162, 0.000626, -0.002502, 0.000977, -20, 3, 180, 893, 0, 0, 511, 36, 0, 14
134666, 0.000626, -0.002518, 0.001053, 25, 15, 180, 893, 0, 0, 511, 41, 5, 11
139674, 0.000595, -0.002533, 0.001068, -28, 3, 225, 892, 0, 0, 511, 30, 5, 6
144682, 0.000641, -0.002594, 0.001114, 33, 0, 177, 893, 0, 0, 511, 36, 65530, 25
149690, 0.000671, -0.002670, 0.001175, 7, -10, 194, 892, 0, 0, 511, 39, 65529, 22
154698, 0.000702, -0.002640, 0.001205, -14, -33, 233, 892, 0, 0, 511, 33, 17, 20
159706, 0.000687, -0.002716, 0.001266, 40, -24, 194, 892, 0, 0, 511, 38, 65529, 7
